class,mutant,test_index,result
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,0,(4, 1)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,1,(4, 0)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,2,(0, 2)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,3,(1, 5)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,4,(0, 1)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,5,(4, 8)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,6,(0, 12)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,7,(0, 4)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,8,(3, 7)
CHANGE_BITS_CAN_MADE_ONE_FLIP,ORIGINAL,9,(0, 9)
