class,mutant,test_index,result
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,0,(58; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,1,(42; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,2,(76; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,3,(16; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,4,(49; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,5,(60; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,6,(99; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,7,(45; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,8,(6; 1; 0)
ONE_LINE_FUNCTION_FOR_FACTORIAL_OF_A_NUMBER,ORIGINAL,9,(70; 1; 0)
