class,mutant,test_index,result
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,0,(24, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,1,(46, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,2,(47, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,3,(41, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,4,(98, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,5,(69, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,6,(83, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,7,(2, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,8,(12, 1, 0)
PROGRAM_FOR_FACTORIAL_OF_A_NUMBER_2,ORIGINAL,9,(11, 1, 0)
