class,mutant,test_index,result
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,0,(92; 88; 85)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,1,(26; -52; -100000000)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,2,(1; 1; 1)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,3,(84; 71; 63)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,4,(24; 20; 8)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,5,(1; 1; 1)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,6,(19; 15; -100000000)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,7,(98; 98; 90)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,8,(1; 1; 0)
MAXIMUM_TRIPLET_SUM_ARRAY_2,ORIGINAL,9,(99; 97; 96)
