class,mutant,test_index,result_java,result_python,equal_results
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,0,89,-1,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,1,-32,-1,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,2,-1,-1,True
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,3,-1,-1,True
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,4,44,-1,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,5,-1,-1,True
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,6,-1,-1,True
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,7,-1,-1,True
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,8,-1,-1,True
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,9,65,-1,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,0,57,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1,22,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,2,17,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,3,74,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,4,1,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,5,1,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,6,1,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,7,1,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,8,1,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,9,1,NA,False
TRIANGULAR_NUMBERS,ORIGINAL,0,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,1,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,2,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,3,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,4,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,5,false,False,True
