class,mutant,result,index
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,0
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,1
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,2
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,3
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,true,4
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,true,5
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,6
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,7
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,8
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,false,9
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,14,0
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,3,1
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,2,2
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,6,3
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,29,4
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,2,5
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,9,6
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,6,7
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,2,8
LONGEST_INCREASING_SUBSEQUENCE_1,ORIGINAL,6,9
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,true,0
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,1
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,true,2
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,3
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,4
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,5
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,6
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,7
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,8
PRIMALITY_TEST_SET_1_INTRODUCTION_AND_SCHOOL_METHOD,ORIGINAL,false,9
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,9,0
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,9,1
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,33,2
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,2,3
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,6,4
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,64,5
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,53,6
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,53,7
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,71,8
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,9,9
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,1,0
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,-95,1
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,4,2
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,1,3
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,-93,4
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,2,5
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,1,6
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,1,7
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,12,8
FIND_SMALLEST_VALUE_REPRESENTED_SUM_SUBSET_GIVEN_ARRAY,ORIGINAL,1,9
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,true,0
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,false,1
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,true,2
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,false,3
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,false,4
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,false,5
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,true,6
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,false,7
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,false,8
MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME,ORIGINAL,false,9
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,0,0
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,1116810752,1
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,1155630780,2
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,-1407509576,3
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,-2067441052,4
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,0,5
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,0,6
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,0,7
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,0,8
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,ORIGINAL,0,9
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,34,0
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,1272,1
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,0,2
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,46,3
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,112,4
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,3,5
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,42,6
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,564,7
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,1,8
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,ORIGINAL,213,9
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,true,0
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,false,1
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,true,2
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,true,3
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,true,4
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,false,5
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,true,6
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,false,7
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,true,8
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED,ORIGINAL,false,9
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,2628,0
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,2628,1
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,703,2
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,10,3
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,4851,4
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,2485,5
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,136,6
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,1225,7
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,3081,8
BREAK_NUMBER_THREE_PARTS_1,ORIGINAL,28,9
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,true,0
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,true,1
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,true,2
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,false,3
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,true,4
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,false,5
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,false,6
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,false,7
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,false,8
CHECK_NUMBER_POWER_K_USING_BASE_CHANGING_METHOD,ORIGINAL,false,9
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,188,0
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,-76,1
