class,mutant,result,index
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,0
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,1
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,2
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,3
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,4
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,5
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,6
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,7
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,8
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,ORIGINAL,EXCEPTION,9
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,34,0
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,55,1
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,55,2
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,55,3
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,89,4
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,34,5
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,55,6
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,89,7
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,89,8
ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,ORIGINAL,55,9
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,39,0
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,22,1
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,0,2
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,84,3
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,-12,4
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,0,5
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,56,6
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,94,7
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,0,8
MEDIAN_OF_TWO_SORTED_ARRAYS,ORIGINAL,67,9
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,0
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,1
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,2
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,3
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,4
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,5
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,6
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,7
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,8
FIND_SUM_ODD_FACTORS_NUMBER,ORIGINAL,EXCEPTION,9
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,0
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,1
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,2
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,3
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,1,4
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,5
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,1,6
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,7
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,8
CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,ORIGINAL,0,9
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,0
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,1
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,2
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,3
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,4
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,5
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,-1,6
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,7
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,8
FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,ORIGINAL,EXCEPTION,9
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,0,0
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,0,1
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,3,2
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,0,3
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,0,4
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,0,5
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,0,6
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,1,7
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,6,8
COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,ORIGINAL,0,9
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,2,0
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,1,1
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,1,2
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,1,3
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,1,4
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,2,5
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,1,6
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,1,7
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,2,8
COUNT_SET_BITS_IN_AN_INTEGER_1,ORIGINAL,1,9
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,0
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,1
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,2
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,3
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,4
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,5
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,6
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,7
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,8
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,EXCEPTION,9
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,44,0
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,77,1
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,103,2
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,6,3
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,56,4
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,25,5
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,78,6
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,49,7
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,86,8
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,61,9
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,17480761,0
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,5288701670462944237293955881,1
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,19483654655064681378025,2
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,47927278105176659888288635888015429788676,3
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,222915410843904,4
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,51008870112024444436089,5
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,7921,6
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,328498451097686799925900568301054106978201,7
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,6273676290102962523005521,8
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,ORIGINAL,3168326721400483374766289471577927721,9
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,0
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,1
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,2
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,3
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,4
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,5
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,6
