class,mutant,index,result_java,result_python,equal_results
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,0,56,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,1,0,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,2,1,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,3,14,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,4,51,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,5,1,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,6,0,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,7,58,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,8,67,NA,False
NUMBER_SUBSEQUENCES_STRING_DIVISIBLE_N,ORIGINAL,9,0,NA,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,0,66,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,1,104,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,2,83,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,3,28,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,4,151,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,5,76,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,6,128,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,7,144,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,8,135,EXCEPTION,False
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,ORIGINAL,9,127,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,0,2,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,1,2,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,2,2,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,3,1,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,4,2,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,5,2,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,6,1,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,7,2,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,8,2,EXCEPTION,False
HARDY_RAMANUJAN_THEOREM,ORIGINAL,9,1,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,0,False,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,1,True,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,2,False,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,3,False,False,True
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,4,False,False,True
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,5,False,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,6,False,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,7,False,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,8,False,EXCEPTION,False
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,ORIGINAL,9,False,False,True
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,0,1,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,1,0,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,2,0,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,3,5,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,4,15,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,5,0,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,6,11,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,7,2,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,8,0,NA,False
FIND_NUMBER_ENDLESS_POINTS,ORIGINAL,9,3,NA,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,0,0,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,1,0,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,2,10,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,3,0,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,4,0,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,5,0,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,6,0,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,7,2,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,8,2,EXCEPTION,False
LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1,ORIGINAL,9,0,EXCEPTION,False
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1,ORIGINAL,0,1764,EXCEPTION,False
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1,ORIGINAL,1,1600,EXCEPTION,False
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1,ORIGINAL,2,4489,EXCEPTION,False
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1,ORIGINAL,3,5329,EXCEPTION,False
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1,ORIGINAL,4,324,EXCEPTION,False
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_1,ORIGINAL,5,256,EXCEPTION,False
