class,mutant,result,test_index
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,57.0,0
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,22.0,1
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,17.0,2
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,74.0,3
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,4
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,5
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,6
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,7
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,8
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,9
TRIANGULAR_NUMBERS,ORIGINAL,False,0
TRIANGULAR_NUMBERS,ORIGINAL,False,1
TRIANGULAR_NUMBERS,ORIGINAL,False,2
TRIANGULAR_NUMBERS,ORIGINAL,False,3
TRIANGULAR_NUMBERS,ORIGINAL,False,4
TRIANGULAR_NUMBERS,ORIGINAL,False,5
TRIANGULAR_NUMBERS,ORIGINAL,False,6
TRIANGULAR_NUMBERS,ORIGINAL,False,7
TRIANGULAR_NUMBERS,ORIGINAL,True,8
TRIANGULAR_NUMBERS,ORIGINAL,False,9
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,True,0
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,1
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,True,2
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,3
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,4
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,5
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,6
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,7
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,8
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,False,9
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,9.412836491366608e+152,0
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,4.1712087993322066e+173,1
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1.853020188851841e+47,2
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1.0,3
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,4.10054125502848e+114,4
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1.0,5
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,6.961986091308856e+65,6
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1e+52,7
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,5.874720686237219e+53,8
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,9.81385940506319e+116,9
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,790244.0,0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,540274.0,1
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,1004731.0,2
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,52394.0,3
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,62196.0,4
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,29260.0,5
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,457310.0,6
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,455.0,7
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,18424.0,8
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,138415.0,9
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,1.0,0
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,1.0,1
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,1.0,2
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0.0,3
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0.0,4
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,1.0,5
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0.0,6
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0.0,7
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0.0,8
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0.0,9
DYCK_PATH,ORIGINAL,2.02768903897094e+40,0
DYCK_PATH,ORIGINAL,1.0001346008003548e+51,1
DYCK_PATH,ORIGINAL,6.182127958584856e+33,2
DYCK_PATH,ORIGINAL,263747951750360.0,3
DYCK_PATH,ORIGINAL,1.3214221084202823e+39,4
DYCK_PATH,ORIGINAL,742900.0,5
DYCK_PATH,ORIGINAL,429.0,6
DYCK_PATH,ORIGINAL,5.774335806960135e+55,7
DYCK_PATH,ORIGINAL,2.2750883079422937e+56,8
DYCK_PATH,ORIGINAL,2.2033725021956517e+37,9
NEXT_POWER_OF_2_1,ORIGINAL,8.0,0
NEXT_POWER_OF_2_1,ORIGINAL,128.0,1
NEXT_POWER_OF_2_1,ORIGINAL,32.0,2
NEXT_POWER_OF_2_1,ORIGINAL,64.0,3
NEXT_POWER_OF_2_1,ORIGINAL,32.0,4
NEXT_POWER_OF_2_1,ORIGINAL,2.0,5
NEXT_POWER_OF_2_1,ORIGINAL,8.0,6
NEXT_POWER_OF_2_1,ORIGINAL,128.0,7
