class,mutant,test_index,result_java,result_python,equal_results
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,0,89.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,1,-32.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,2,-1.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,3,-1.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,4,44.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,5,-1.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,6,-1.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,7,-1.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,8,-1.0,NA,False
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,9,65.0,NA,False
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,0,57.0,57.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1,22.0,22.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,2,17.0,17.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,3,74.0,74.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,4,1.0,1.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,5,1.0,1.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,6,1.0,1.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,7,1.0,1.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,8,1.0,1.0,True
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,9,1.0,1.0,True
TRIANGULAR_NUMBERS,ORIGINAL,0,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,1,false,False,True
