class,Mutation-based Translation Score,Computational Accuracy
COUNT_SET_BITS_IN_AN_INTEGER_1,0.0,0.0
DIVISIBILITY_9_USING_BITWISE_OPERATORS,0.0,1.0
FAST_MULTIPLICATION_METHOD_WITHOUT_USING_MULTIPLICATION_OPERATOR_RUSSIAN_PEASANTS_ALGORITHM,0.0,1.0
MODULAR_EXPONENTIATION_POWER_IN_MODULAR_ARITHMETIC,0.0,1.0
SWAP_TWO_NIBBLES_BYTE,0.0,1.0
WRITE_AN_EFFICIENT_METHOD_TO_CHECK_IF_A_NUMBER_IS_MULTIPLE_OF_3,0.0,1.0
BELL_NUMBERS_NUMBER_OF_WAYS_TO_PARTITION_A_SET,1.0,0.0
CALCULATE_AREA_TETRAHEDRON,1.0,0.0
CALCULATE_MAXIMUM_VALUE_USING_SIGN_TWO_NUMBERS_STRING,1.0,0.0
CASSINIS_IDENTITY,1.0,0.0
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,1.0,0.0
CHECK_ARRAY_CONTAINS_CONTIGUOUS_INTEGERS_DUPLICATES_ALLOWED,1.0,0.0
CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES,1.0,0.0
CHECK_IF_STRING_REMAINS_PALINDROME_AFTER_REMOVING_GIVEN_NUMBER_OF_CHARACTERS,1.0,0.7
CHECK_POSSIBLE_TRANSFORM_ONE_STRING_ANOTHER,1.0,0.0
COIN_GAME_WINNER_EVERY_PLAYER_THREE_CHOICES,1.0,0.0
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,1.0,0.0
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,1.0,0.0
COMPUTE_NCR_P_SET_1_INTRODUCTION_AND_DYNAMIC_PROGRAMMING_SOLUTION,1.0,0.0
COUNT_ARRAYS_CONSECUTIVE_ELEMENT_DIFFERENT_VALUES,1.0,0.0
COUNT_BINARY_STRINGS_K_TIMES_APPEARING_ADJACENT_TWO_SET_BITS,1.0,0.0
COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1,1.0,0.0
COUNT_INVERSIONS_OF_SIZE_THREE_IN_A_GIVE_ARRAY_1,1.0,0.0
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,1.0,0.0
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,1.0,0.0
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0,0.0
COUNT_OF_PAIRS_SATISFYING_THE_GIVEN_CONDITION,1.0,1.0
COUNT_PALINDROME_SUB_STRINGS_STRING,1.0,0.0
COUNT_PALINDROMIC_SUBSEQUENCE_GIVEN_STRING,1.0,0.0
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,1.0,0.0
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,1.0,0.0
COUNT_TRAILING_ZEROES_FACTORIAL_NUMBER,1.0,0.0
COUNT_WAYS_BUILD_STREET_GIVEN_CONSTRAINTS,1.0,0.0
COUNT_WAYS_DIVIDE_CIRCLE_USING_N_NON_INTERSECTING_CHORDS,1.0,0.0
DICE_THROW_PROBLEM,1.0,0.0
DICE_THROW_PROBLEM_1,1.0,0.0
DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING_1,1.0,0.0
DYNAMIC_PROGRAMMING_SET_28_MINIMUM_INSERTIONS_TO_FORM_A_PALINDROME,1.0,0.0
DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM,1.0,0.0
EULERIAN_NUMBER_1,1.0,0.0
FIND_A_ROTATION_WITH_MAXIMUM_HAMMING_DISTANCE,1.0,0.0
FIND_EQUAL_POINT_STRING_BRACKETS,1.0,0.0
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,1.0,0.0
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,1.0,0.0
FIND_MINIMUM_DIFFERENCE_PAIR_1,1.0,0.0
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,1.0,0.0
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS,1.0,0.0
FIND_SUM_NODES_GIVEN_PERFECT_BINARY_TREE_1,1.0,0.0
FUNCTION_COPY_STRING_ITERATIVE_RECURSIVE_1,1.0,0.0
GOLD_MINE_PROBLEM,1.0,0.0
HARDY_RAMANUJAN_THEOREM,1.0,0.0
HOW_CAN_WE_SUM_THE_DIGITS_OF_A_GIVEN_NUMBER_IN_SINGLE_STATEMENT_1,1.0,0.0
K_TH_ELEMENT_TWO_SORTED_ARRAYS,1.0,0.0
K_TH_LARGEST_SUM_CONTIGUOUS_SUBARRAY,1.0,0.0
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,1.0,0.0
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,1.0,0.0
LONGEST_PREFIX_ALSO_SUFFIX_1,1.0,0.0
LONGEST_REPEATING_SUBSEQUENCE,1.0,0.0
MAKING_ELEMENTS_OF_TWO_ARRAYS_SAME_WITH_MINIMUM_INCREMENTDECREMENT,1.0,0.0
MAXIMIZE_SUM_ARRII,1.0,0.0
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY,1.0,0.0
MAXIMUM_BINOMIAL_COEFFICIENT_TERM_VALUE,1.0,0.0
MAXIMUM_GAMES_PLAYED_WINNER,1.0,0.0
MAXIMUM_NUMBER_SEGMENTS_LENGTHS_B_C,1.0,0.0
MAXIMUM_PRODUCT_INCREASING_SUBSEQUENCE,1.0,0.0
MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1,1.0,0.0
MAXIMUM_SUBSEQUENCE_SUM_SUCH_THAT_NO_THREE_ARE_CONSECUTIVE,1.0,0.0
MAXIMUM_SUM_BITONIC_SUBARRAY,1.0,0.0
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,1.0,0.0
MAXIMUM_SUM_SUBARRAY_REMOVING_ONE_ELEMENT,1.0,0.0
MAXIMUM_WEIGHT_PATH_ENDING_ELEMENT_LAST_ROW_MATRIX,1.0,0.0
MINIMIZE_SUM_PRODUCT_TWO_ARRAYS_PERMUTATIONS_ALLOWED,1.0,0.0
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,1.0,0.0
MINIMUM_COST_CUT_BOARD_SQUARES,1.0,0.0
MINIMUM_COST_FOR_ACQUIRING_ALL_COINS_WITH_K_EXTRA_COINS_ALLOWED_WITH_EVERY_COIN,1.0,0.0
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,1.0,0.0
MINIMUM_NUMBER_OF_JUMPS_TO_REACH_END_OF_A_GIVEN_ARRAY_1,1.0,0.0
MINIMUM_PERIMETER_N_BLOCKS,1.0,0.0
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,1.0,0.0
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,1.0,0.0
MINIMUM_SUM_TWO_NUMBERS_FORMED_DIGITS_ARRAY,1.0,0.0
MINIMUM_SUM_TWO_NUMBERS_FORMED_DIGITS_ARRAY_2,1.0,0.0
MULTIPLY_AN_INTEGER_WITH_3_5,1.0,0.0
NUMBER_SUBSTRINGS_STRING,1.0,0.0
NUMBER_TRIANGLES_N_MOVES,1.0,0.0
NUMBER_UNIQUE_RECTANGLES_FORMED_USING_N_UNIT_SQUARES,1.0,0.0
NUMBER_WAYS_NODE_MAKE_LOOP_SIZE_K_UNDIRECTED_COMPLETE_CONNECTED_GRAPH_N_NODES,1.0,0.1
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_1,1.0,0.0
PROGRAM_CALCULATE_VOLUME_OCTAHEDRON,1.0,0.0
PROGRAM_PRINT_IDENTITY_MATRIX_1,1.0,0.0
PROGRAM_TO_CHECK_IF_A_MATRIX_IS_SYMMETRIC,1.0,0.0
