class,mutant,test_index,result
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,0,(-4540.924838072941; -6502.84173958646)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,1,(4439.425829103755; 10259.56009516972)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,2,(-5284.509505475071; 3985.6357014873847)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,3,(8500.66243537998; 3831.456294190504)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,4,(6767.030932377695; -6261.709192538804)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,5,(12456.645304920843; 6193.346625261622)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,6,(6363.302638026917; -6368.731164104977)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,7,(6933.707196010923; -702.6771263495111)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,8,(-8585.883775712078; -3640.470768308437)
FIND_MIRROR_IMAGE_POINT_2_D_PLANE,ORIGINAL,9,(4563.947497135827; 2732.9100405809945)
